competition_name,to_team_name,player_name,market_value,transfer_fees,variation_pct,rank
Bundesliga,Bayer 04 Leverkusen,Abdoulaye Faye,2000000.0,2700000.0,35.0,214
Bundesliga,SC Freiburg,Igor Matanovic,5000000.0,6700000.0,34.0,215
Ligue 1,Paris Saint-Germain,Lucas Chevalier,30000000.0,40000000.0,33.33,216
Saudi Pro League,NEOM SC,Nathan Zézé,15000000.0,20000000.0,33.33,217
Serie A,Inter Milan,Andy Diouf,15000000.0,20000000.0,33.33,218
Bundesliga,VfB Stuttgart,Lorenz Assignon,9000000.0,12000000.0,33.33,219
Premier League,Wolverhampton Wanderers,David Møller Wolfe,9000000.0,12000000.0,33.33,220
Ligue 1,RC Lens,Mamadou Sangaré,6000000.0,8000000.0,33.33,221
Saudi Pro League,Al-Qadsiah FC,Julian Weigl,6000000.0,8000000.0,33.33,222
Ligue 1,OGC Nice,Kevin Carlos,4500000.0,6000000.0,33.33,223
Bundesliga,Eintracht Frankfurt,Michael Zetterer,4500000.0,6000000.0,33.33,224
Serie A,SS Lazio,Luca Pellegrini,3000000.0,4000000.0,33.33,225
La Liga,Atlético de Madrid,Santiago Mouriño,3000000.0,4000000.0,33.33,226
Serie A,Como 1907,Luca Mazzitelli,1500000.0,2000000.0,33.33,227
Liga Portugal,Vitória Guimarães SC,Fabio Blanco,900000.0,1200000.0,33.33,228
Ligue 1,RC Strasbourg Alsace,Andrew Omobamidele,8000000.0,10500000.0,31.25,229
Serie A,Atalanta BC,Kamaldeen Sulemana,13000000.0,17000000.0,30.77,230
Eredivisie,PSV Eindhoven,Yarek Gasiorowski,7500000.0,9800000.0,30.67,231
Saudi Pro League,Al-Qadsiah FC,Gabriel Carvalho,12000000.0,15600000.0,30.0,232
Brasileiro,Clube Atlético Mineiro,Alexsander,5000000.0,6500000.0,30.0,233
Ligue 1,RC Lens,Jeremy Agbonifo,5000000.0,6500000.0,30.0,234
Liga Portugal,SL Benfica,Samuel Dahl,7000000.0,9000000.0,28.57,235
La Liga,Rayo Vallecano,Alemão,3500000.0,4500000.0,28.57,236
Premier League,Sunderland AFC,Enzo Le Fée,18000000.0,23000000.0,27.78,237
Ligue 1,Olympique Marseille,Nayef Aguerd,18000000.0,23000000.0,27.78,238
Premier League,Burnley FC,Zian Flemming,6500000.0,8300000.000000001,27.69,239
Premier League,Nottingham Forest,James McAtee,20000000.0,25500000.0,27.5,240
Premier League,Chelsea FC,João Pedro,50000000.0,63700000.0,27.4,241
Premier League,Liverpool FC,Hugo Ekitiké,75000000.0,95000000.0,26.67,242
Premier League,Nottingham Forest,Igor Jesus,15000000.0,19000000.0,26.67,243
Premier League,Chelsea FC,Jorrel Hato,35000000.0,44180000.0,26.23,244
Premier League,Arsenal FC,Eberechi Eze,55000000.0,69300000.0,26.0,245
Serie A,Juventus FC,João Mário,10000000.0,12600000.0,26.0,246
Premier League,AFC Bournemouth,Bafodé Diakité,28000000.0,35000000.0,25.0,247
Serie A,AS Roma,Wesley,20000000.0,25000000.0,25.0,248
Premier League,Brighton & Hove Albion,Maxim De Cuyper,16000000.0,20000000.0,25.0,249
Premier League,Sunderland AFC,Granit Xhaka,12000000.0,15000000.0,25.0,250
Serie A,Atalanta BC,Marco Brescianini,8000000.0,10000000.0,25.0,251
Bundesliga,1.FC Union Berlin,Andrej Ilic,4000000.0,5000000.0,25.0,252
Serie A,US Lecce,Nikola Stulic,4000000.0,5000000.0,25.0,253
Serie A,Como 1907,Ignace Van der Brempt,4000000.0,5000000.0,25.0,254
Super Lig,Göztepe,Janderson,1200000.0,1500000.0,25.0,255
Eredivisie,Twente Enschede FC,Stav Lemkin,1200000.0,1500000.0,25.0,256
Super Lig,Besiktas JK,Gökhan Sazdağı,1200000.0,1500000.0,25.0,257
Liga Portugal,FC Arouca,Dylan Nandín,800000.0,1000000.0,25.0,258
Brasileiro,Fortaleza Esporte Clube,Pablo Roberto,800000.0,1000000.0,25.0,259
Premier League,Manchester United,Matheus Cunha,60000000.0,74200000.0,23.67,260
Super Lig,Galatasaray,Wilfried Singo,25000000.0,30770000.0,23.08,261
Bundesliga,RB Leipzig,Ezechiel Banzuzi,13000000.0,16000000.0,23.08,262
Premier League,West Ham United,El Hadji Malick Diouf,18000000.0,22000000.0,22.22,263
Serie A,Parma Calcio 1913,Christian Ordóñez,7000000.0,8500000.0,21.43,264
Premier League,Liverpool FC,Alexander Isak,120000000.0,145000000.0,20.83,265
Ligue 1,Olympique Marseille,Jonathan Rowe,12000000.0,14500000.0,20.83,266
Premier League,Nottingham Forest,Dan Ndoye,35000000.0,42000000.0,20.0,267
Premier League,Aston Villa,Evann Guessand,25000000.0,30000000.0,20.0,268
Ligue 1,Stade Rennais FC,Lilian Brassier,10000000.0,12000000.0,20.0,269
Brasileiro,Botafogo de Futebol e Regatas,Arthur Cabral,10000000.0,12000000.0,20.0,270
Saudi Pro League,NEOM SC,Saïd Benrahma,10000000.0,12000000.0,20.0,271
Premier League,Sunderland AFC,Nordi Mukiele,10000000.0,12000000.0,20.0,272
Serie A,Parma Calcio 1913,Matija Frigan,7500000.0,9000000.0,20.0,273
Serie A,SSC Napoli,Luca Marianucci,7500000.0,9000000.0,20.0,274
Ligue 1,RC Lens,Florian Thauvin,5000000.0,6000000.0,20.0,275
Brasileiro,Sociedade Esportiva Palmeiras,Khellven,5000000.0,6000000.0,20.0,276
La Liga,Valencia CF,José Copete,3000000.0,3600000.0,20.0,277
Ligue 1,FC Metz,Terry Yegbe,2500000.0,3000000.0,20.0,278
Serie A,US Sassuolo,Fali Candé,2500000.0,3000000.0,20.0,279
Ligue 1,LOSC Lille,Calvin Verdonk,2500000.0,3000000.0,20.0,280
Ligue 1,AJ Auxerre,Francisco Sierralta,1500000.0,1800000.0,20.0,281
Saudi Pro League,Al-Hilal SFC,Darwin Núñez,45000000.0,53000000.0,17.78,282
Serie A,Juventus FC,Nico González,24000000.0,28100000.0,17.08,283
Premier League,Arsenal FC,Martín Zubimendi,60000000.0,70000000.0,16.67,284
Premier League,AFC Bournemouth,Amine Adli,18000000.0,21000000.0,16.67,285
Bundesliga,FC Augsburg,Fabian Rieder,6000000.0,7000000.0,16.67,286
Serie A,Torino FC,Marcus Pedersen,3000000.0,3500000.0,16.67,287
La Liga,RCD Mallorca,Jan Virgili,3000000.0,3500000.0,16.67,288
Bundesliga,FC St. Pauli,Joel Chima Fujita,3000000.0,3500000.0,16.67,289
Ligue 1,FC Toulouse,Abu Francis,1800000.0,2100000.0,16.67,290
Serie A,US Cremonese,Andrea Fulignati,1200000.0,1400000.0,16.67,291
Liga Portugal,Vitória Guimarães SC,Juan Castillo,600000.0,700000.0,16.67,292
Serie A,Inter Milan,Ange-Yoan Bonny,20000000.0,23000000.0,15.0,293
Premier League,Everton FC,Mark Travers,4000000.0,4600000.0,15.0,294
Bundesliga,Bayer 04 Leverkusen,Eliesse Ben Seghir,28000000.0,32000000.0,14.29,295
Serie A,Juventus FC,Francisco Conceição,28000000.0,32000000.0,14.29,296
Super Lig,Fenerbahce,Archie Brown,7000000.0,8000000.0,14.29,297
Super Lig,Galatasaray,Ismail Jakobs,7000000.0,8000000.0,14.29,298
Serie A,Parma Calcio 1913,Oliver Sørensen,7000000.0,8000000.0,14.29,299
Brasileiro,Cruzeiro Esporte Clube,Keny Arroyo,7000000.0,8000000.0,14.29,300
Brasileiro,Santos FC,Alexis Duarte,3000000.0,3400000.0,13.33,301
Serie A,AC Milan,Ardon Jashari,32000000.0,36000000.0,12.5,302
Bundesliga,Borussia Dortmund,Fábio Silva,20000000.0,22500000.0,12.5,303
Ligue 1,RC Lens,Morgan Guilavogui,4000000.0,4500000.0,12.5,304
Liga Portugal,CD Santa Clara,Wendel,1200000.0,1350000.0,12.5,305
Saudi Pro League,Al-Kholood Club,Ramiro Enrique,2500000.0,2810000.0,12.4,306
Premier League,Chelsea FC,Jamie Gittens,50000000.0,56000000.0,12.0,307
Premier League,Chelsea FC,Dário Essugo,20000000.0,22270000.0,11.35,308
Premier League,Brentford FC,Antoni Milambo,18000000.0,20000000.0,11.11,309
Bundesliga,Borussia Dortmund,Carney Chukwuemeka,18000000.0,20000000.0,11.11,310
Brasileiro,Botafogo de Futebol e Regatas,Kaio,1800000.0,2000000.0,11.11,311
Serie A,SSC Napoli,Sam Beukema,28000000.0,31000000.0,10.71,312
Premier League,Manchester City,Tijjani Reijnders,50000000.0,55000000.0,10.0,313
Bundesliga,Bayer 04 Leverkusen,Mark Flekken,10000000.0,11000000.0,10.0,314
Premier League,Brighton & Hove Albion,Diego Coppola,10000000.0,11000000.0,10.0,315
Bundesliga,SC Freiburg,Philipp Treu,5000000.0,5500000.0,10.0,316
Liga Portugal,Sporting CP,Giorgi Kochorashvili,5000000.0,5500000.0,10.0,317
Super Lig,Basaksehir FK,Bertuğ Yıldırım,2000000.0,2200000.0,10.0,318
Bundesliga,Bayer 04 Leverkusen,Malik Tillman,32000000.0,35000000.0,9.38,319
Premier League,Manchester United,Benjamin Sesko,70000000.0,76500000.0,9.29,320
Ligue 1,Stade Rennais FC,Breel Embolo,12000000.0,13000000.0,8.33,321
Premier League,Nottingham Forest,Nicolò Savona,12000000.0,13000000.0,8.33,322
Bundesliga,VfB Stuttgart,Tiago Tomás,12000000.0,13000000.0,8.33,323
Serie A,Como 1907,Máximo Perrone,12000000.0,13000000.0,8.33,324
Serie A,Bologna FC 1909,Nicolò Casale,6000000.0,6500000.0,8.33,325
